TYPENAME,TYPEID,GROUPID
Starkad' Basic-M M/I+,369452,351064
Kakali' Basic-M mk.0+,369453,351064
Numeri' Basic-M A-I,369469,351064
Legio' Basic-M ak.0,369470,351064
Vexillatio' Basic-M A/I,369471,351064
Triari' Basic-M ak.0,369472,351064
Nakir' Assault ak.0,369475,351064
Malik' Assault ak.0+,369476,351064
Tuoni' Assault ck.0,369477,351064
Stallo' Assault ck.0+,369478,351064
Celeus' Assault gk.0,369479,351064
Theseus' Assault gk.0+,369480,351064
Marras' Basic-M ck.0,369481,351064
Agema' Basic-M gk.0,369482,351064
Halberd' Basic-L A-I,369507,351064
Partisan' Basic-L A/I,369508,351064
Ranseur' Basic-L ak.0,369509,351064
Piru' Basic-L C-I,369510,351064
Lempo' Basic-L C/I,369511,351064
Perkele' Basic-L ck.0,369512,351064
Melete' Basic-L G-I,369513,351064
Aoide' Basic-L G/I,369514,351064
Calliope' Basic-L gk.0,369515,351064
Skadi' Basic-L M-I,369516,351064
Jord' Basic-L M/I,369517,351064
Sol' Basic-L mk.0,369518,351064
Aventail' Basic-H A-I,369539,351064
Vambrace' Basic-H A/I,369540,351064
Cuirass' Basic-H ak.0,369541,351064
Guruwa' Basic-H C-I,369542,351064
Kote' Basic-H C/I,369543,351064
Menpo' Basic-H ck.0,369544,351064
Hecaton' Basic-H G-I,369545,351064
Alcyon' Basic-H G/I+,369546,351064
Mimas' Basic-H G/I,369547,351064
Basilo' Basic-H M-I,369548,351064
Dorudon' Basic-H M/I,369549,351064
Loceros' Basic-H mk.0,369550,351064
Deathshroud' AM-M SKIN,370308,368726
Taireis Crimson AM-L SKIN,370488,368726
Council's Modified Repair Tool,370658,351844
X-MS16 Snowball Launcher,371027,350858
Crate of Prototype Body Armor Fabric,2200,314
Riot Interdiction Team,2201,314
Riot Interdiction Teams,2202,314
Acolyte I,2203,100
Acolyte I Blueprint,2204,176
Acolyte II,2205,100
Acolyte II Blueprint,2206,176
Vylade Dien,2207,1054
Uitra Telen,2208,1054
Arnon Epithalamus,2209,1054
Banshee Torpedo,2210,89
Sansha Juggernaut Torpedo Blueprint,2211,166
Ghost Heavy Missile,2212,385
Ghost Heavy Missile Blueprint,2213,166
Guard Post,2214,952
Amarr TIL-1A Nexus Chips,2215,314
Crate of Amarr TIL-1A Nexus Chips,2216,314
Preacher,2217,283
Locced's Bribe,2218,306
Large Group of Civilian Workers and Dependents,2219,314
Civilian Workers and Dependents,2220,314
Manportable Electromagnetic Pulse Weapons,2221,314
Scions of the Superior Gene,2222,673
Preacher's Quarters,2223,306
Tolmak's Zealots,2224,1006
Sisters of EVE Negotiator,2226,283
Life pod,2232,306
Customs Office,2233,1025
Sansha's Battletower,2234,226
Oura Madusaari,2239,283
Harroken Ikero,2240,283
Fajah Ateshi,2244,283
Neurowave Pattern Scanner,2250,314
Roden Station,2252,226
Temperate Command Center,2254,1027
Temperate Launchpad,2256,1030
Ice Storage Facility,2257,1029
ECCM - Omni II,2258,202
ECCM - Gravimetric II,2259,202
ECCM - Ladar II,2260,202
ECCM - Magnetometric II,2261,202
ECCM - Radar II,2262,202
Planetary Launch Container,2263,12
Base Metals,2267,1032
Aqueous Liquids,2268,1033
Noble Metals,2270,1032
Heavy Metals,2272,1032
Link,2280,1036
Multispectrum Shield Hardener II,2281,77
Multispectrum Shield Hardener II Blueprint,2282,157
Megathron (Roden),2284,226
Dominix (Roden),2285,226
Planktic Colonies,2286,1035
Complex Organisms,2287,1035
Carbon Compounds,2288,1035
Explosive Shield Hardener I,2289,77
Explosive Shield Hardener I Blueprint,2290,157
Kinetic Shield Hardener I,2291,77
Kinetic Shield Hardener I Blueprint,2292,157
EM Shield Hardener I,2293,77
EM Shield Hardener I Blueprint,2294,157
Thermal Shield Hardener I,2295,77
Thermal Shield Hardener I Blueprint,2296,157
Explosive Shield Hardener II,2297,77
Explosive Shield Hardener II Blueprint,2298,157
Kinetic Shield Hardener II,2299,77
Kinetic Shield Hardener II Blueprint,2300,157
EM Shield Hardener II,2301,77
EM Shield Hardener II Blueprint,2302,157
Thermal Shield Hardener II,2303,77
Thermal Shield Hardener II Blueprint,2304,157
Autotrophs,2305,1035
Non-CS Crystals,2306,1032
Felsic Magma,2307,1032
Suspended Plasma,2308,1033
Ionic Solutions,2309,1033
Noble Gas,2310,1033
Reactive Gas,2311,1033
Supertensile Plastics,2312,1034
Oxides,2317,1034
Test Cultures,2319,1034
Polyaramids,2321,1034
Microfiber Shielding,2327,1034
Water-Cooled CPU,2328,1034
Biocells,2329,1034
Shield Power Relay I,2331,57
Shield Power Relay I Blueprint,2332,137
Survey Scanner II,2333,49
Survey Scanner II Blueprint,2334,129
Mysterious Probe,2335,226
Passive Targeter II,2341,82
Passive Targeter II Blueprint,2342,161
Condensates,2344,1040
Camera Drones,2345,1040
Synthetic Synapses,2346,1040
Gel-Matrix Biopaste,2348,1040
Supercomputers,2349,1040
Smartfab Units,2351,1040
Nuclear Reactors,2352,1040
Neocoms,2354,1040
Small Hull Repairer II,2355,63
Small Hull Repairer II Blueprint,2356,143
Biotech Research Reports,2358,1040
Industrial Explosives,2360,1040
Hermetic Membranes,2361,1040
Heat Sink I,2363,205
Heat Sink II,2364,205
Hazmat Detection Systems,2366,1040
Cryoprotectant Solution,2367,1040
Broken Organic Mortar Applicators,2368,314
Broken Sterile Conduits,2369,314
Serpentis Initiate,2370,572
Broken Nano-Factory,2371,314
Angel Rogue,2372,550
Broken Self-Harmonizing Power Core,2373,314
Broken Recursive Computing Module,2374,314
Broken Broadcast Node,2375,314
Broken Integrity Response Drones,2376,314
Broken Wetware Mainframe,2377,314
Mysterious Shuttle,2378,675
Serpentis Spy,2379,572
Serpentis Chief Spy,2381,571
Guristas Arrogator,2382,562
Guristas Invader,2383,562
Guristas Imputor,2384,562
Guristas Despoiler,2385,562
Guristas Plunderer,2386,562
Guristas Silencer,2387,561
Plasmoids,2389,1042
Electrolytes,2390,1042
Oxidizing Compound,2392,1042
Bacteria,2393,1042
Proteins,2395,1042
Biofuels,2396,1042
Industrial Fibers,2397,1042
Reactive Metals,2398,1042
Precious Metals,2399,1042
Toxic Metals,2400,1042
Chiral Structures,2401,1042
Advanced Planetology,2403,1241
Light Missile Launcher II,2404,509
Light Missile Launcher II Blueprint,2405,136
Planetology,2406,1241
The Terminus Stream,2407,226
Barren Aqueous Liquid Extractor,2409,1026
Heavy Missile Launcher II,2410,510
Heavy Missile Launcher II Blueprint,2411,136
Temperate Aqueous Liquid Extractor,2412,1026
Storm Aqueous Liquid Extractor,2413,1026
Oceanic Aqueous Liquid Extractor,2414,1026
Ice Aqueous Liquid Extractor,2415,1026
Gas Aqueous Liquid Extractor,2416,1026
Plasma Suspended Plasma Extractor,2417,1026
Lava Suspended Plasma Extractor,2418,1026
Storm Suspended Plasma Extractor,2419,1026
Torpedo Launcher II,2420,508
Torpedo Launcher II Blueprint,2421,136
Storm Ionic Solutions Extractor,2422,1026
Ice Noble Gas Extractor,2423,1026
Gas Ionic Solutions Extractor,2424,1026
Storm Noble Gas Extractor,2425,1026
Gas Noble Gas Extractor,2426,1026
Gas Reactive Gas Extractor,2427,1026
Lava Base Metals Extractor,2428,1026
Plasma Base Metals Extractor,2429,1026
Barren Base Metals Extractor,2430,1026
Storm Base Metals Extractor,2431,1026
Ice Microorganisms Extractor,2432,1026
Gas Base Metals Extractor,2433,1026
Plasma Noble Metals Extractor,2434,1026
Barren Noble Metals Extractor,2435,1026
Wasp II,2436,100
Wasp II Blueprint,2437,176
Ice Planktic Colonies Extractor,2438,1026
Lava Heavy Metals Extractor,2439,1026
Plasma Heavy Metals Extractor,2440,1026
Ice Heavy Metals Extractor,2441,1026
Lava Non-CS Crystals Extractor,2442,1026
Plasma Non-CS Crystals Extractor,2443,1026
Ogre I,2444,100
Ogre I Blueprint,2445,176
Ogre II,2446,100
Ogre II Blueprint,2447,176
Lava Felsic Magma Extractor,2448,1026
Barren Microorganisms Extractor,2449,1026
Temperate Microorganisms Extractor,2450,1026
Oceanic Microorganisms Extractor,2451,1026
Oceanic Planktic Colonies Extractor,2452,1026
Temperate Complex Organisms Extractor,2453,1026
Hobgoblin I,2454,100
Hobgoblin I Blueprint,2455,176
Hobgoblin II,2456,100
Hobgoblin II Blueprint,2457,176
Oceanic Complex Organisms Extractor,2458,1026
Barren Carbon Compounds Extractor,2459,1026
Temperate Carbon Compounds Extractor,2460,1026
Oceanic Carbon Compounds Extractor,2461,1026
Temperate Autotrophs Extractor,2462,1026
Nanites,2463,1034
Hornet I,2464,100
Hornet I Blueprint,2465,176
Hornet II,2466,100
Hornet II Blueprint,2467,176
Fortified Drone Structure II,2468,226
Lava Basic Industry Facility,2469,1028
Lava Advanced Industry Facility,2470,1028
Plasma Basic Industry Facility,2471,1028
Plasma Advanced Industry Facility,2472,1028
Barren Basic Industry Facility,2473,1028
Barren Advanced Industry Facility,2474,1028
Barren High-Tech Production Plant,2475,1028
Berserker I,2476,100
Berserker I Blueprint,2477,176
Berserker II,2478,100
Berserker II Blueprint,2479,176
Temperate Advanced Industry Facility,2480,1028
Temperate Basic Industry Facility,2481,1028
Temperate High-Tech Production Plant,2482,1028
Storm Basic Industry Facility,2483,1028
Storm Advanced Industry Facility,2484,1028
Oceanic Advanced Industry Facility,2485,1028
Warrior I,2486,100
Warrior I Blueprint,2487,176
Warrior II,2488,100
Warrior II Blueprint,2489,176
Oceanic Basic Industry Facility,2490,1028
Ice Advanced Industry Facility,2491,1028
Gas Basic Industry Facility,2492,1028
Ice Basic Industry Facility,2493,1028
Gas Advanced Industry Facility,2494,1028
Interplanetary Consolidation,2495,1241
Minmatar Hub,2496,15
Minmatar Industrial Station,2497,15
Minmatar Military Station,2498,15
Minmatar Mining Station,2499,15
Minmatar Research Station,2500,15
Minmatar Station,2501,15
Minmatar Trade Post,2502,15
Command Center Upgrades,2505,1241
Mjolnir Torpedo,2506,89
Mjolnir Torpedo Blueprint,2507,166
Nova Torpedo,2508,89
Nova Torpedo Blueprint,2509,166
Inferno Torpedo,2510,89
Inferno Torpedo Blueprint,2511,166
Mjolnir Rocket,2512,387
Mjolnir Rocket Blueprint,2513,166
Inferno Rocket,2514,387
Inferno Rocket Blueprint,2515,166
Nova Rocket,2516,387
Nova Rocket Blueprint,2517,166
Barren Command Center,2524,1027
Oceanic Command Center,2525,1027
QA SpaceAnchor,2528,353
Explosive Shield Amplifier I,2529,295
Explosive Shield Amplifier I Blueprint,2530,296
Explosive Shield Amplifier II,2531,295
Explosive Shield Amplifier II Blueprint,2532,296
Ice Command Center,2533,1027
Gas Command Center,2534,1027
Oceanic Storage Facility,2535,1029
Gas Storage Facility,2536,1029
Thermal Shield Amplifier I,2537,295
Thermal Shield Amplifier I Blueprint,2538,296
Thermal Shield Amplifier II,2539,295
Thermal Shield Amplifier II Blueprint,2540,296
Barren Storage Facility,2541,1029
Oceanic Launchpad,2542,1030
Gas Launchpad,2543,1030
Barren Launchpad,2544,1030
Kinetic Shield Amplifier I,2545,295
Kinetic Shield Amplifier I Blueprint,2546,296
Kinetic Shield Amplifier II,2547,295
Kinetic Shield Amplifier II Blueprint,2548,296
Lava Command Center,2549,1027
Storm Command Center,2550,1027
Plasma Command Center,2551,1027
Ice Launchpad,2552,1030
EM Shield Amplifier II,2553,295
EM Shield Amplifier II Blueprint,2554,296
Lava Launchpad,2555,1030
Plasma Launchpad,2556,1030
Storm Launchpad,2557,1030
Lava Storage Facility,2558,1029
Ladar ECM II,2559,201
Plasma Storage Facility,2560,1029
Storm Storage Facility,2561,1029
Temperate Storage Facility,2562,1029
Magnetometric ECM II,2563,201
Multispectral ECM II,2567,201
Gravimetric ECM II,2571,201
The Solitaire,2573,226
Improved Storm Command Center,2574,1027
Radar ECM II,2575,201
Advanced Storm Command Center,2576,1027
Elite Storm Command Center,2577,1027
Limited Temperate Command Center,2578,1027
Gravimetric Backup Array I,2579,203
Gravimetric Backup Array II,2580,203
Standard Temperate Command Center,2581,1027
Improved Temperate Command Center,2582,1027
Ladar Backup Array I,2583,203
Ladar Backup Array II,2584,203
Advanced Temperate Command Center,2585,1027
Elite Temperate Command Center,2586,1027
Magnetometric Backup Array I,2587,203
Magnetometric Backup Array II,2588,203
Genolution Core Augmentation CA-2,2589,1730
Multi Sensor Backup Array I,2591,203
Multi Sensor Backup Array II,2592,203
ISHAEKA Monalaz Commander,2594,667
Encoded Data Chip,2595,314
Crates of Clothing,2596,314
Crates of Command Reports,2597,314
Crates of Coolant,2598,314
Crates of Corporate Documents,2599,314
Crates of Data Sheets,2601,314
Crates of Drill Parts,2602,314
Nanofiber Internal Structure I,2603,763
Nanofiber Internal Structure I Blueprint,2604,158
Nanofiber Internal Structure II,2605,763
Nanofiber Internal Structure II Blueprint,2606,158
Crates of Fertilizer,2608,314
Crates of Frozen Food,2610,314
Hollow Asteroid,2612,226
Mjolnir Fury Light Missile,2613,653
Mjolnir Fury Light Missile Blueprint,2614,166
Crates of Garbage,2615,314
Large Crates of Coolant,2616,314
Crates of Guidance Systems,2617,314
Crates of Harroule Dryweed,2618,314
Crates of High-Tech Small Arms,2619,314
Crates of Liparer Cheese,2620,314
Inferno Fury Cruise Missile,2621,656
Inferno Fury Cruise Missile Blueprint,2622,166
Crates of Listening Post Recordings,2623,314
Crates of Mechanical Parts,2624,314
Crates of Missile Guidance Systems,2626,314
Crates of Mono-Cell Batteries,2627,314
Crates of Odd Data Crystals,2628,314
Scourge Fury Heavy Missile,2629,655
Scourge Fury Heavy Missile Blueprint,2630,166
Crates of OP Insecticide,2631,314
Crates of Oxygen,2632,314
Crates of Planetary Vehicles,2633,314
Crates of Protein Delicacies,2635,314
Crates of Raggy Dolls,2636,314
Inferno Precision Cruise Missile,2637,656
Inferno Precision Cruise Missile Blueprint,2638,166
Crates of Repair Parts,2639,314
Crates of Replacement Parts,2640,314
Crates of Reports,2641,314
Crates of Robotics,2642,314
Crates of Small Arms,2644,314
Crates of Soil,2645,314
Crates of Spiced Wine,2646,314
Inferno Precision Light Missile,2647,653
Inferno Precision Light Missile Blueprint,2648,166
Crates of Synthetic Oil,2652,314
Crates of Vaccine Injectors,2653,314
Crates of Viral Agent,2654,314
Nova Precision Heavy Missile,2655,655
Nova Precision Heavy Missile Blueprint,2656,166
Crates of Vitoc,2657,314
Crates of Water,2659,314
Crates of Zemnar,2660,314
Group of Army Recruits,2662,283
Group of Cattle,2663,283
Group of Elite Slaves,2665,283
Group of Exotic Dancers,2666,283
Group of Genetically Enhanced Livestock,2668,283
Group of Kameiras,2669,283
Group of Marines,2670,283
Group of Militants,2671,283
Group of Miners,2672,283
Large Crates of Data Sheets,2673,314
Group of Refugees,2674,283
Group of Science Graduates,2675,283
Group of Security Personnel,2676,283
Group of Slaves,2677,283
Group of Tourists,2678,283
Scourge Rage Heavy Assault Missile,2679,654
Scourge Rage Heavy Assault Missile Blueprint,2680,166
Group of VIPs,2681,283
Large Crates of Galeptos Medicine,2682,314
Large Crates of Guidance Systems,2683,314
Large Crates of Harroule Dryweed,2684,314
Large Crates of Holoreels,2685,314
Large Crates of Liparer Cheese,2686,314
Large Crates of Mechanical Parts,2687,314
Large Crates of Mono-Cell Batteries,2688,314
Large Crates of Oxygen,2689,314
Large Crates of Planetary Vehicles,2690,314
Large Crates of Polytextiles,2691,314
Large Crates of Protein Delicacies,2692,314
Large Crates of Reports,2693,314
Large Crates of Small Arms,2694,314
Large Crates of Soil,2695,314
Large Crates of Spirits,2696,314
Large Crates of Synthetic Oil,2697,314
Large Crates of Vitoc,2698,314
Large Group of Civilians,2699,283
Large Group of Exotic Dancers,2700,283
Large Group of Genetically Enhanced Livestock,2701,283
Large Group of Homeless,2702,283
Large Group of Kameiras,2703,283
Large Group of Marines,2704,283
Large Group of Militants,2705,283
Large Group of Science Graduates,2706,283
Large Group of Slaves,2707,283
Large Group of Tourists,2708,283
Large Group of VIPs,2709,283
Large Crates of Construction Blocks,2710,314
Large Crates of Crystal Eggs,2711,313
Large Crates of Drill Parts,2712,314
Large Crates of Electronic Parts,2713,314
Large Crates of Fertilizer,2714,314
Large Crates of Frozen Food,2715,314
Large Crates of Frozen Plant Seeds,2716,314
Large Crates of Garbage,2717,314
Large Crates of Long-limb Roes,2718,314
Large Crates of Raggy Dolls,2719,314
Large Crates of Rocket Fuel,2720,314
Large Crates of Tobacco,2721,314
Large Crates of Transmitters,2722,314
Large Crates of Viral Agent,2723,314
Large Crates of Water,2724,314
Large Group of Cattle,2725,283
Large Group of Janitors,2726,283
Large Group of Miners,2727,283
Large Group of Refugees,2728,283
Crates of Consumer Electronics,2729,314
Crates of Enriched Uranium,2730,314
Crates of Silicon,2731,314
Crates of Silicate Glass,2732,314
Schematic,2733,937
Gallente Vexor Cruiser,2734,226
Infrastructure Hub Blueprint,2735,1045
Warp Disruption Battery Blueprint,2736,857
Territorial Claim Unit Blueprint,2737,1045
Sovereignty Blockade Unit Blueprint,2738,1045
Nanite Repair Paste Blueprint,2739,912
Warp Scrambling Battery Blueprint,2740,857
Stasis Webification Battery Blueprint,2741,858
Biochemical Silo Blueprint,2742,1048
Catalyst Silo Blueprint,2743,1048
Coupling Array Blueprint,2744,1048
General Storage Blueprint,2745,1048
Hazardous Chemical Silo Blueprint,2746,1048
Hybrid Polymer Silo Blueprint,2747,1048
Silo Blueprint,2748,1048
Advanced Large Ship Assembly Array Blueprint,2749,1048
X-Large Ship Maintenance Array Blueprint,2750,1048
Advanced Medium Ship Assembly Array Blueprint,2751,1048
Ship Maintenance Array Blueprint,2752,1048
Advanced Small Ship Assembly Array Blueprint,2753,1048
Ammunition Assembly Array Blueprint,2754,1048
Ballistic Deflection Array Blueprint,2755,1048
Supercapital Ship Assembly Array Blueprint,2756,1048
Explosion Dampening Array Blueprint,2757,1048
Component Assembly Array Blueprint,2758,1048
Heat Dissipation Array Blueprint,2759,1048
Drone Assembly Array Blueprint,2760,1048
Photon Scattering Array Blueprint,2761,1048
Drug Lab Blueprint,2762,1048
Sensor Dampening Battery Blueprint,2763,1048
Equipment Assembly Array Blueprint,2764,1048
Intensive Reprocessing Array Blueprint,2765,1048
Large Ship Assembly Array Blueprint,2766,1048
Compression Array Blueprint,2767,1048
Medium Ship Assembly Array Blueprint,2768,1048
Reprocessing Array Blueprint,2769,1048
Rapid Equipment Assembly Array Blueprint,2770,1048
Small Ship Assembly Array Blueprint,2771,1048
Subsystem Assembly Array Blueprint,2772,1048
Capital Ship Assembly Array Blueprint,2773,1048
Amarr Control Tower Blueprint,2774,841
Amarr Control Tower Medium Blueprint,2775,841
Amarr Control Tower Small Blueprint,2776,841
Caldari Control Tower Blueprint,2777,841
Caldari Control Tower Medium Blueprint,2778,841
Caldari Control Tower Small Blueprint,2779,841
Gallente Control Tower Blueprint,2780,841
Gallente Control Tower Medium Blueprint,2781,841
Gallente Control Tower Small Blueprint,2782,841
Minmatar Control Tower Blueprint,2783,841
Minmatar Control Tower Medium Blueprint,2784,841
Minmatar Control Tower Small Blueprint,2785,841
Moon Harvesting Array Blueprint,2786,1048
Corporate Hangar Array Blueprint,2787,1048
Cynosural Generator Array Blueprint,2788,1048
Cynosural System Jammer Blueprint,2789,1048
Biochemical Reactor Array Blueprint,2790,1048
Complex Reactor Array Blueprint,2791,1048
Ion Field Projection Battery Blueprint,2792,856
Medium Biochemical Reactor Array Blueprint,2793,1048
Phase Inversion Battery Blueprint,2794,856
Polymer Reactor Array Blueprint,2795,1048
Spatial Destabilization Battery Blueprint,2796,856
Simple Reactor Array Blueprint,2797,1048
White Noise Generation Battery Blueprint,2798,856
Energy Neutralizing Battery Blueprint,2799,860
Jump Bridge Blueprint,2800,1048
Nova Javelin Torpedo,2801,657
Nova Javelin Torpedo Blueprint,2802,166
Large Blaster Battery Blueprint,2803,855
Large Railgun Battery Blueprint,2804,855
Large Artillery Battery Blueprint,2805,854
Medium Blaster Battery Blueprint,2806,855
Large AutoCannon Battery Blueprint,2807,854
Medium Railgun Battery Blueprint,2808,855
Medium Artillery Battery Blueprint,2810,854
Inferno Rage Torpedo,2811,657
Inferno Rage Torpedo Blueprint,2812,166
Small Blaster Battery Blueprint,2813,855
Medium AutoCannon Battery Blueprint,2814,854
Small Railgun Battery Blueprint,2815,855
Small Artillery Battery Blueprint,2816,854
Mjolnir Rage Rocket,2817,648
Mjolnir Rage Rocket Blueprint,2818,166
Small AutoCannon Battery Blueprint,2819,854
Experimental Laboratory Blueprint,2820,891
Research Laboratory Blueprint,2821,891
XL Torpedo Battery Blueprint,2822,871
Cruise Missile Battery Blueprint,2823,871
Torpedo Battery Blueprint,2824,871
Small Pulse Laser Battery Blueprint,2825,853
Small Beam Laser Battery Blueprint,2826,853
Medium Pulse Laser Battery Blueprint,2827,853
Medium Beam Laser Battery Blueprint,2828,853
Large Pulse Laser Battery Blueprint,2829,853
Large Beam Laser Battery Blueprint,2830,853
Serpentis Fortress,2831,226
Blood Raider Fortress,2832,226
1000 Aurum Token,2833,943
Utu,2834,324
Utu Blueprint,2835,105
Adrestia,2836,358
Adrestia Blueprint,2837,106
Standard Cerebral Accelerator,2838,303
Cerebral Accelerator Blueprint,2839,718
Hasaziras Assa's Scorpion,2840,517
Angel Officer's Quarters,2841,306
Serpentis Station,2842,226
Outuni Mesen,2845,1056
Domination Excavator,2846,820
True Sansha Foreman,2847,820
Barren Extractor Control Unit,2848,1063
Suspicious Ship Wreck,2850,306
Incriminating Evidence,2851,314
Sansha Cynosural Field,2852,226
Salvaged Electronics,2853,314
Cloaked Cache,2854,306
Intaki Colliculus,2855,1056
Forlorn Hope,2856,226
Osnirdottir Memorial,2858,226
Romi Thalamus,2859,1054
The Seven Holding Cells,2860,306
Crate of Manportable Electromagnetic Pulse Weapons,2861,314
Special Forces Weapons and Equipment,2862,314
Primae,2863,28
Primae Blueprint,2864,108
1200mm Artillery Cannon II,2865,55
1200mm Artillery Cannon II Blueprint,2866,135
Broadcast Node,2867,1041
Integrity Response Drones,2868,1041
Nano-Factory,2869,1041
Organic Mortar Applicators,2870,1041
Recursive Computing Module,2871,1041
Self-Harmonizing Power Core,2872,1041
125mm Gatling AutoCannon II,2873,55
125mm Gatling AutoCannon II Blueprint,2874,135
Sterile Conduits,2875,1041
Wetware Mainframe,2876,1041
Federation Freighter Vessel,2877,875
Federation Industrial Vessel,2878,927
Imperial Freighter Vessel,2879,875
Unknown Dead,2880,314
150mm Light AutoCannon II,2881,55
State Freighter Vessel,2882,875
State Industrial Vessel,2883,927
Republic Industrial Vessel,2884,927
Imperial Industrial Vessel,2885,927
Tomb of the Unknown Soldiers,2886,306
Gallente Admiral's Corpse,2887,526
Acceleration Gate Authentication Matrix,2888,314
200mm AutoCannon II,2889,55
200mm AutoCannon II Blueprint,2890,135
Amarr Battleship Wreckage,2891,306
Amarrian Battleship Wreckage,2892,306
Damning Evidence,2893,314
Invisible Cloud,2894,227
Asteroid Pirate Station,2895,306
Patient Zero,2896,319
220mm Vulcan AutoCannon II,2897,55
220mm Vulcan AutoCannon II Blueprint,2898,135
Custom Circuitry,2899,314
Recovered Data Core,2900,314
Science Vessel Wreck,2901,306
Deactivated Acceleration Gate,2902,319
Manager's Station,2903,952
Quantum Entanglement,2904,314
250mm Light Artillery Cannon II,2905,55
250mm Light Artillery Cannon II Blueprint,2906,135
Schmaeel Medulla,2907,1053
Niarja Myelen,2909,1053
Gallente Passenger Liner Wreckage,2910,226
Gallente Passenger Liner Damaged,2911,306
Minmatar Pilot's Corpse,2912,526
425mm AutoCannon II,2913,55
425mm AutoCannon II Blueprint,2914,135
Auxiliary Academic Campus,2915,319
Rogue Minmatar,2916,706
Survivors,2917,314
Cell Block D,2918,306
Caldari Operative,2919,283
650mm Artillery Cannon II,2921,55
650mm Artillery Cannon II Blueprint,2922,135
Serpentis Slave Transport,2926,226
Fortified Deadspace Particle Accelerator,2927,226
Fortified Asteroid Colony,2928,226
800mm Repeating Cannon II,2929,55
Crate of Special Forces Weapons and Equipment,2930,314
Mara Paleo,2931,1054
Ostingele Tectum,2932,1056
Deltole Tegmentum,2933,1056
Counterfeit Voluval Tattoo Chemicals,2934,314
Yulai Crus Cerebi,2935,1056
Auga Hypophysis,2936,1054
Dual 180mm AutoCannon II,2937,55
Dual 180mm AutoCannon II Blueprint,2938,135
Tama Cerebellum,2939,1053
Captured CEO,2942,283
Hybrid Slaver Hounds,2943,314
Kennel of Hybrid Slaver Hounds,2944,314
Dual 425mm AutoCannon II,2945,55
Dual 425mm AutoCannon II Blueprint,2946,135
Compact Shade Torpedo,2947,1010
Shadow,2948,1653
Shadow Blueprint,2949,1145
Lirsautton Parichaya,2950,1054
Large Crate of Improved Inertial Compensation Systems,2951,314
Crate of Unidentified Fibrous Compound,2952,314
Dual 650mm Repeating Cannon II,2953,55
Dual 650mm Repeating Cannon II Blueprint,2954,135
Large Crate of Unidentified Fibrous Compound,2955,314
Large Crate of Refurbished Mining Drones,2956,314
Crate of Refurbished Mining Drones,2957,314
Civilian SIGINT Contractors,2958,283
Group of Civilian SIGINT Contractors,2959,283
Spools of Quantrium Wiring,2960,314
1400mm Howitzer Artillery II,2961,55
1400mm Howitzer Artillery II Blueprint,2962,135
Quantrium Wiring,2963,314
Aerogel Counteragent,2964,314
Crate of Aerogel Counteragent,2965,314
Eystur Rhomben,2966,1053
Crate of Target Painter Deflection Plating,2967,314
Large Crate of Target Painter Deflection Plating,2968,314
720mm Howitzer Artillery II,2969,55
720mm Howitzer Artillery II Blueprint,2970,135
Group of Haakar's Striking Hawks,2971,314
Ditanium Metal Plates,2972,314
Pallet of Ditanium Metal Plates,2973,314
Large Group of The Hooded Men,2974,314
Arctic Warfare Marines,2975,283
Arctic Warfare Marine Squads,2976,283
280mm Howitzer Artillery II,2977,55
280mm Howitzer Artillery II Blueprint,2978,135
Crate of Industrial-Grade Tritanium-Alloy Scraps,2979,314
Large Crate of Industrial-Grade Tritanium-Alloy Scraps,2980,314
Crate of Architectural-Quality Plagioclase Paneling,2981,314
Large Crate of Architectural-Quality Plagioclase Paneling,2982,314
Corporate Assassin,2983,283
Deep Cover Corporate Assassin,2984,283
Dual Heavy Beam Laser II,2985,53
Dual Heavy Beam Laser II Blueprint,2986,133
Crate of Harvester Components,2987,314
Large Crate of Harvester Components,2988,314
Decoy Prototype Cloaking Devices,2989,314
Crate of Decoy Prototype Cloaking Devices,2990,314
Crate of Amarr Scripture Educational Study Packages (Matari translation),2991,314
Large Crate of Amarr Scripture Educational Study Packages (Matari translation),2992,314
Dual Light Beam Laser II,2993,53
Dual Light Beam Laser II Blueprint,2994,133
Blue Paradise,2995,314
Crate of Blue Paradise,2996,314
Crate of Refined C-86 Epoxy Resin,2997,314
Noctis,2998,28
Amarr Marine Counter-Boarding Team,2999,283
Group of Angel Cartel VIPs,3000,314
Dual Light Pulse Laser II,3001,53
Dual Light Pulse Laser II Blueprint,3002,133
Large Group of Angel Cartel VIPs,3003,314
Amarr Marine Counter-Boarding Company,3004,283
Crate of Feille d'Marnne Champagne,3005,314
Conditioned House Slaves,3006,283
Large Crate of Feille d'Marnne Champagne,3007,314
Herd of Conditioned House Slaves,3008,283
Focused Medium Beam Laser II,3009,53
Focused Medium Beam Laser II Blueprint,3010,133
Crate of Bootleg Holoreels,3011,314
Large Crate of Suspicious Holoreels,3012,314
Amarr Religious Holoreels,3013,314
Crate of Amarr Religious Holoreels,3014,314
Crate of Cryo-Stored Luminaire Skippers,3015,314
Large Crate of Cryo-Stored Luminaire Skippers,3016,314
Gatling Pulse Laser II,3017,53
Gatling Pulse Laser II Blueprint,3018,133
Crate of Unidentified Ancient Technology,3019,314
Large Crate of Talocan Station Life-Support Cores,3020,314
Crate of Portable Emergency Heating Units,3021,314
Large Crate of Portable Emergency Heating Units,3022,314
